time_s,time_min,adc_value,voltage_V
347.0,5.7833,657,3.2111
348.0,5.8000,666,3.2551
349.0,5.8167,699,3.4164
350.0,5.8333,639,3.1232
351.0,5.8500,677,3.3089
352.0,5.8667,651,3.1818
353.0,5.8833,640,3.1281
354.0,5.9000,652,3.1867
355.0,5.9167,673,3.2893
356.0,5.9333,635,3.1036
357.0,5.9500,629,3.0743
358.0,5.9667,667,3.2600
359.0,5.9833,651,3.1818
360.0,6.0000,661,3.2307
361.0,6.0167,661,3.2307
362.0,6.0333,657,3.2111
363.0,6.0500,649,3.1720
364.0,6.0667,673,3.2893
365.0,6.0833,672,3.2845
366.0,6.1000,670,3.2747
367.0,6.1167,610,2.9814
368.0,6.1333,629,3.0743
369.0,6.1500,606,2.9619
370.0,6.1667,649,3.1720
371.0,6.1833,632,3.0890
372.0,6.2000,624,3.0499
373.0,6.2167,615,3.0059
374.0,6.2333,654,3.1965
375.0,6.2500,650,3.1769
376.0,6.2667,645,3.1525
377.0,6.2833,615,3.0059
378.0,6.3000,602,2.9423
379.0,6.3167,651,3.1818
380.0,6.3333,606,2.9619
381.0,6.3500,651,3.1818
382.0,6.3667,635,3.1036
383.0,6.3833,627,3.0645
384.0,6.4000,661,3.2307
385.0,6.4167,682,3.3333
386.0,6.4333,610,2.9814
387.0,6.4500,643,3.1427
388.0,6.4667,680,3.3236
389.0,6.4833,632,3.0890
390.0,6.5000,678,3.3138
391.0,6.5167,653,3.1916
392.0,6.5333,642,3.1378
393.0,6.5500,629,3.0743
394.0,6.5667,628,3.0694
395.0,6.5833,648,3.1672
396.0,6.6000,653,3.1916
397.0,6.6167,648,3.1672
398.0,6.6333,640,3.1281
399.0,6.6500,658,3.2160
400.0,6.6667,655,3.2014
401.0,6.6833,662,3.2356
402.0,6.7000,669,3.2698
403.0,6.7167,678,3.3138
404.0,6.7333,646,3.1574
405.0,6.7500,662,3.2356
406.0,6.7667,671,3.2796
407.0,6.7833,660,3.2258
408.0,6.8000,673,3.2893
409.0,6.8167,621,3.0352
410.0,6.8333,693,3.3871
411.0,6.8500,681,3.3284
412.0,6.8667,672,3.2845
413.0,6.8833,647,3.1623
414.0,6.9000,686,3.3529
415.0,6.9167,677,3.3089
416.0,6.9333,652,3.1867
417.0,6.9500,648,3.1672
418.0,6.9667,682,3.3333
419.0,6.9833,701,3.4262
420.0,7.0000,647,3.1623
421.0,7.0167,678,3.3138
422.0,7.0333,690,3.3724
423.0,7.0500,660,3.2258
424.0,7.0667,653,3.1916
425.0,7.0833,674,3.2942
426.0,7.1000,674,3.2942
427.0,7.1167,631,3.0841
428.0,7.1333,691,3.3773
429.0,7.1500,677,3.3089
430.0,7.1667,647,3.1623
431.0,7.1833,665,3.2502
432.0,7.2000,676,3.3040
433.0,7.2167,654,3.1965
434.0,7.2333,655,3.2014
435.0,7.2500,657,3.2111
436.0,7.2667,672,3.2845
437.0,7.2833,680,3.3236
438.0,7.3000,660,3.2258
439.0,7.3167,704,3.4409
440.0,7.3333,613,2.9961
441.0,7.3500,657,3.2111
442.0,7.3667,639,3.1232
443.0,7.3833,620,3.0303
444.0,7.4000,654,3.1965
445.0,7.4167,692,3.3822
446.0,7.4333,670,3.2747
447.0,7.4500,662,3.2356
448.0,7.4667,649,3.1720
449.0,7.4833,668,3.2649
450.0,7.5000,655,3.2014
451.0,7.5167,654,3.1965
452.0,7.5333,656,3.2063
453.0,7.5500,623,3.0450
454.0,7.5667,658,3.2160
455.0,7.5833,650,3.1769
456.0,7.6000,613,2.9961
457.0,7.6167,654,3.1965
458.0,7.6333,663,3.2405
459.0,7.6500,636,3.1085
460.0,7.6667,658,3.2160
461.0,7.6833,644,3.1476
462.0,7.7000,653,3.1916
463.0,7.7167,642,3.1378
464.0,7.7333,653,3.1916
465.0,7.7500,633,3.0938
466.0,7.7667,606,2.9619
467.0,7.7833,650,3.1769
468.0,7.8000,616,3.0108
469.0,7.8167,629,3.0743
470.0,7.8333,678,3.3138
471.0,7.8500,640,3.1281
472.0,7.8667,672,3.2845
473.0,7.8833,627,3.0645
474.0,7.9000,643,3.1427
475.0,7.9167,655,3.2014
476.0,7.9333,656,3.2063
477.0,7.9500,628,3.0694
478.0,7.9667,646,3.1574
479.0,7.9833,642,3.1378
480.0,8.0000,613,2.9961
481.0,8.0167,661,3.2307
482.0,8.0333,662,3.2356
483.0,8.0500,671,3.2796
484.0,8.0667,658,3.2160
485.0,8.0833,632,3.0890
486.0,8.1000,638,3.1183
487.0,8.1167,681,3.3284
488.0,8.1333,647,3.1623
489.0,8.1500,627,3.0645
490.0,8.1667,655,3.2014
491.0,8.1833,642,3.1378
492.0,8.2000,651,3.1818
493.0,8.2167,650,3.1769
494.0,8.2333,659,3.2209
495.0,8.2500,613,2.9961
496.0,8.2667,645,3.1525
497.0,8.2833,632,3.0890
498.0,8.3000,669,3.2698
499.0,8.3167,661,3.2307
500.0,8.3333,637,3.1134
501.0,8.3500,618,3.0205
502.0,8.3667,680,3.3236
503.0,8.3833,657,3.2111
504.0,8.4000,663,3.2405
505.0,8.4167,636,3.1085
506.0,8.4333,645,3.1525
507.0,8.4500,643,3.1427
508.0,8.4667,691,3.3773
509.0,8.4833,651,3.1818
510.0,8.5000,650,3.1769
511.0,8.5167,671,3.2796
512.0,8.5333,669,3.2698
513.0,8.5500,694,3.3920
514.0,8.5667,645,3.1525
515.0,8.5833,677,3.3089
516.0,8.6000,627,3.0645
517.0,8.6167,663,3.2405
518.0,8.6333,630,3.0792
519.0,8.6500,678,3.3138
520.0,8.6667,675,3.2991
521.0,8.6833,688,3.3627
522.0,8.7000,658,3.2160
523.0,8.7167,668,3.2649
524.0,8.7333,610,2.9814
525.0,8.7500,706,3.4506
526.0,8.7667,678,3.3138
527.0,8.7833,633,3.0938
528.0,8.8000,671,3.2796
529.0,8.8167,661,3.2307
530.0,8.8333,624,3.0499
531.0,8.8500,670,3.2747
532.0,8.8667,714,3.4897
533.0,8.8833,669,3.2698
534.0,8.9000,654,3.1965
535.0,8.9167,658,3.2160
536.0,8.9333,664,3.2454
537.0,8.9500,650,3.1769
538.0,8.9667,642,3.1378
539.0,8.9833,676,3.3040
540.0,9.0000,687,3.3578
541.0,9.0167,676,3.3040
542.0,9.0333,630,3.0792
543.0,9.0500,638,3.1183
544.0,9.0667,652,3.1867
545.0,9.0833,660,3.2258
546.0,9.1000,651,3.1818
547.0,9.1167,669,3.2698
548.0,9.1333,606,2.9619
549.0,9.1500,631,3.0841
550.0,9.1667,656,3.2063
551.0,9.1833,636,3.1085
552.0,9.2000,615,3.0059
553.0,9.2167,692,3.3822
554.0,9.2333,657,3.2111
555.0,9.2500,651,3.1818
556.0,9.2667,623,3.0450
557.0,9.2833,680,3.3236
558.0,9.3000,660,3.2258
559.0,9.3167,634,3.0987
560.0,9.3333,649,3.1720
561.0,9.3500,630,3.0792
562.0,9.3667,675,3.2991
563.0,9.3833,669,3.2698
564.0,9.4000,622,3.0401
565.0,9.4167,687,3.3578
566.0,9.4333,637,3.1134
567.0,9.4500,626,3.0596
568.0,9.4667,652,3.1867
569.0,9.4833,634,3.0987
570.0,9.5000,625,3.0547
571.0,9.5167,625,3.0547
572.0,9.5333,668,3.2649
573.0,9.5500,638,3.1183
574.0,9.5667,642,3.1378
575.0,9.5833,619,3.0254
576.0,9.6000,637,3.1134
577.0,9.6167,640,3.1281
578.0,9.6333,656,3.2063
579.0,9.6500,689,3.3675
580.0,9.6667,636,3.1085
581.0,9.6833,673,3.2893
582.0,9.7000,632,3.0890
583.0,9.7167,638,3.1183
584.0,9.7333,676,3.3040
585.0,9.7500,659,3.2209
586.0,9.7667,660,3.2258
587.0,9.7833,654,3.1965
588.0,9.8000,675,3.2991
589.0,9.8167,668,3.2649
590.0,9.8333,649,3.1720
591.0,9.8500,615,3.0059
592.0,9.8667,671,3.2796
593.0,9.8833,674,3.2942
594.0,9.9000,670,3.2747
595.0,9.9167,659,3.2209
596.0,9.9333,645,3.1525
597.0,9.9500,641,3.1329
598.0,9.9667,650,3.1769
599.0,9.9833,668,3.2649
