time_s,voltage_V,current_A,power_W
11.400,11.931,1.6544,19.739
11.500,12.184,1.5850,19.312
11.600,12.145,1.6381,19.894
11.700,11.940,1.6778,20.032
11.800,11.954,1.6957,20.271
11.900,11.963,1.6889,20.205
12.000,12.110,1.6836,20.388
12.100,11.964,1.7202,20.581
12.200,12.099,1.7621,21.319
12.300,11.896,1.8714,22.263
12.400,12.090,1.8286,22.107
12.500,11.991,1.9036,22.826
12.600,12.154,1.9350,23.519
12.700,11.997,1.8738,22.480
12.800,11.996,1.8548,22.251
12.900,11.951,1.9944,23.836
13.000,11.922,1.9531,23.286
13.100,11.864,1.9284,22.878
13.200,11.928,1.9365,23.099
13.300,12.072,1.8776,22.666
13.400,12.002,2.0496,24.598
13.500,12.209,1.9852,24.238
13.600,11.943,1.9383,23.150
13.700,11.951,1.9927,23.816
13.800,11.985,2.1425,25.679
13.900,11.797,1.9504,23.007
14.000,12.140,2.0286,24.627
14.100,11.978,1.9995,23.951
14.200,12.047,1.9902,23.976
14.300,12.135,2.0069,24.354
14.400,12.097,2.0976,25.375
14.500,11.984,2.0081,24.065
14.600,12.209,2.1000,25.638
14.700,11.972,2.1558,25.808
14.800,11.897,2.1007,24.991
14.900,11.996,1.9859,23.823
15.000,11.975,1.9292,23.101
15.100,12.015,1.9982,24.009
15.200,11.952,1.9599,23.426
15.300,12.075,1.9263,23.260
15.400,12.128,2.0038,24.302
15.500,12.129,1.8989,23.031
15.600,11.913,1.9717,23.489
15.700,11.937,1.9222,22.947
15.800,11.925,1.9676,23.463
15.900,12.142,1.8040,21.903
16.000,11.947,1.8276,21.834
16.100,12.007,1.8709,22.464
16.200,12.026,1.8247,21.944
16.300,11.947,1.7858,21.335
16.400,11.960,1.7563,21.006
16.500,12.035,1.8432,22.183
16.600,11.896,1.6740,19.914
16.700,12.160,1.5914,19.352
16.800,11.795,1.7188,20.272
16.900,12.074,1.5595,18.830
17.000,11.964,1.7248,20.636
17.100,12.072,1.5629,18.867
17.200,12.139,1.4147,17.174
17.300,11.963,1.5691,18.771
17.400,11.846,1.5989,18.940
17.500,11.946,1.6173,19.320
17.600,12.064,1.4588,17.599
17.700,12.165,1.3977,17.004
17.800,12.008,1.4927,17.925
17.900,11.881,1.4947,17.759
18.000,12.077,1.4097,17.025
18.100,11.725,1.4690,17.224
18.200,11.774,1.5373,18.101
18.300,12.168,1.4516,17.662
18.400,12.173,1.3687,16.661
18.500,12.090,1.3831,16.722
18.600,11.960,1.2951,15.489
18.700,11.998,1.2453,14.942
18.800,12.099,1.3033,15.768
18.900,12.066,1.4367,17.335
19.000,11.886,1.4380,17.092
19.100,11.982,1.3770,16.499
19.200,11.868,1.4794,17.558
19.300,11.898,1.3332,15.863
19.400,11.953,1.3544,16.189
19.500,11.930,1.3784,16.445
19.600,11.931,1.4672,17.506
19.700,12.055,1.3919,16.779
19.800,11.908,1.3832,16.470
19.900,12.057,1.3348,16.093
20.000,12.127,1.4363,17.418
20.100,12.243,1.3712,16.788
20.200,11.872,1.4765,17.528
20.300,11.966,1.4282,17.090
20.400,12.255,1.3898,17.032
20.500,11.980,1.4656,17.557
20.600,11.932,1.4933,17.818
20.700,11.960,1.5266,18.259
20.800,11.964,1.6054,19.207
20.900,12.032,1.5872,19.097
21.000,12.161,1.5361,18.680
21.100,11.961,1.5789,18.885
21.200,12.084,1.7784,21.489
21.300,12.025,1.7164,20.640
21.400,12.160,1.6366,19.900
21.500,12.050,1.7106,20.614
21.600,12.008,1.8321,21.999
21.700,11.915,1.7589,20.956
21.800,11.902,1.8009,21.435
21.900,12.103,1.6503,19.975
22.000,12.087,1.8082,21.855
22.100,11.833,1.8634,22.050
22.200,11.978,1.9230,23.035
22.300,12.047,1.8847,22.705
22.400,12.085,1.9013,22.978
22.500,11.988,1.9265,23.096
22.600,12.059,1.9545,23.569
22.700,12.043,1.9449,23.423
22.800,11.927,1.9522,23.284
22.900,11.952,2.0436,24.425
23.000,11.944,2.0849,24.902
23.100,12.002,1.9779,23.738
23.200,11.925,1.9783,23.592
23.300,12.099,1.9829,23.992
23.400,12.144,2.0254,24.596
23.500,11.956,2.1348,25.523
23.600,12.070,2.1294,25.701
23.700,12.021,2.1186,25.469
23.800,12.039,2.0440,24.609
23.900,11.820,2.1980,25.981
24.000,11.666,2.2447,26.186
24.100,11.887,2.0951,24.905
24.200,12.129,2.0631,25.024
24.300,11.941,2.0826,24.867
24.400,11.992,2.2260,26.693
24.500,11.904,2.2134,26.348
24.600,12.011,2.1308,25.593
24.700,11.884,2.2271,26.466
24.800,12.031,2.1734,26.149
24.900,12.026,2.1640,26.025
25.000,11.827,2.1751,25.725
25.100,12.122,2.1104,25.583
25.200,11.917,1.9272,22.966
25.300,11.977,2.0675,24.762
25.400,12.033,2.0361,24.499
25.500,11.924,1.9584,23.353
25.600,11.837,2.1077,24.948
25.700,11.885,2.0672,24.569
25.800,11.980,1.9907,23.848
25.900,12.074,1.9957,24.095
26.000,12.078,2.0266,24.476
26.100,12.007,1.8980,22.789
26.200,12.027,1.9033,22.890
26.300,11.871,1.8011,21.381
26.400,11.964,1.7748,21.235
26.500,11.921,1.8671,22.257
26.600,12.028,1.8306,22.018
26.700,12.021,1.6776,20.167
26.800,12.080,1.7092,20.646
26.900,11.965,1.6945,20.275
27.000,12.371,1.7505,21.655
27.100,11.956,1.7037,20.371
27.200,12.040,1.6605,19.993
27.300,11.817,1.7519,20.702
27.400,12.092,1.6595,20.066
27.500,12.042,1.5342,18.475
27.600,11.997,1.4692,17.627
27.700,11.869,1.5847,18.809
27.800,11.816,1.5234,18.001
27.900,11.987,1.4293,17.133
28.000,12.065,1.4206,17.141
28.100,12.031,1.5607,18.777
28.200,11.868,1.4701,17.448
28.300,12.055,1.4892,17.952
28.400,12.046,1.4202,17.107
28.500,12.131,1.3873,16.829
28.600,12.018,1.4816,17.806
28.700,12.151,1.3213,16.055
28.800,12.073,1.4209,17.154
28.900,12.125,1.2797,15.517
29.000,11.885,1.4206,16.884
29.100,12.296,1.3191,16.220
29.200,12.046,1.3948,16.802
29.300,11.952,1.4835,17.731
29.400,12.024,1.5365,18.475
29.500,12.025,1.3054,15.697
29.600,11.869,1.3354,15.850
29.700,11.948,1.4942,17.853
29.800,11.795,1.2579,14.837
29.900,11.932,1.3927,16.618
30.000,11.959,1.4483,17.321
30.100,12.011,1.4107,16.944
30.200,11.924,1.5104,18.010
30.300,12.049,1.3648,16.445
30.400,11.888,1.5178,18.044
30.500,12.091,1.5218,18.399
30.600,12.012,1.3910,16.710
30.700,11.895,1.5705,18.682
30.800,12.134,1.4957,18.149
30.900,11.993,1.5223,18.257
31.000,11.899,1.6233,19.316
31.100,12.062,1.5161,18.288
31.200,11.795,1.6413,19.359
31.300,11.803,1.7079,20.158
31.400,12.331,1.6310,20.112
31.500,12.160,1.6430,19.979
31.600,11.940,1.7048,20.355
31.700,12.164,1.7447,21.222
31.800,11.920,1.7022,20.290
31.900,11.991,1.8041,21.633
32.000,12.044,1.7040,20.523
32.100,12.083,1.7867,21.588
32.200,11.925,1.7956,21.412
32.300,11.949,1.9115,22.839
32.400,12.059,1.8939,22.838
32.500,12.112,1.8377,22.259
32.600,11.993,1.8708,22.436
32.700,12.116,1.8116,21.950
32.800,11.798,2.0230,23.868
32.900,12.135,1.8387,22.313
33.000,11.895,1.9394,23.070
33.100,11.860,1.9246,22.825
33.200,11.974,1.9761,23.661
33.300,11.830,2.0084,23.759
33.400,12.025,2.1004,25.257
33.500,11.800,2.0670,24.391
33.600,11.913,2.0124,23.975
33.700,12.031,1.9542,23.511
33.800,11.931,2.0099,23.980
33.900,12.078,2.0922,25.271
34.000,11.864,2.0915,24.814
34.100,11.946,2.1003,25.090
34.200,12.001,2.1439,25.729
34.300,11.975,2.0158,24.139
34.400,11.964,2.1002,25.126
34.500,11.925,2.1448,25.575
34.600,12.009,1.9938,23.943
34.700,11.852,1.9493,23.104
34.800,11.904,2.0187,24.030
34.900,11.959,2.0138,24.083
35.000,11.933,2.0237,24.150
35.100,12.124,1.9253,23.343
35.200,12.013,2.0570,24.712
35.300,11.950,1.9477,23.275
35.400,12.074,1.9181,23.158
35.500,12.033,1.9758,23.775
35.600,12.075,1.7946,21.669
35.700,12.123,1.8311,22.198
35.800,11.944,1.9436,23.214
35.900,11.951,1.7908,21.401
36.000,11.940,1.7841,21.302
36.100,11.922,1.9400,23.128
36.200,12.009,1.9000,22.817
36.300,11.927,1.8384,21.926
36.400,11.992,1.7446,20.921
36.500,11.917,1.7140,20.427
36.600,11.861,1.7910,21.243
36.700,12.189,1.6362,19.944
36.800,12.090,1.5107,18.264
36.900,11.926,1.7683,21.089
37.000,12.022,1.6293,19.588
37.100,12.236,1.5746,19.266
37.200,11.750,1.4841,17.438
37.300,11.931,1.5792,18.842
37.400,11.923,1.5709,18.729
37.500,11.975,1.5379,18.416
37.600,11.812,1.6900,19.962
37.700,12.010,1.4776,17.745
37.800,12.166,1.5168,18.454
37.900,11.943,1.4680,17.532
38.000,12.068,1.4355,17.323
38.100,11.960,1.4126,16.895
38.200,12.070,1.4388,17.366
38.300,11.990,1.4560,17.458
38.400,11.925,1.4033,16.734
38.500,11.996,1.2803,15.358
38.600,11.794,1.4132,16.667
38.700,11.885,1.3939,16.567
38.800,11.756,1.4412,16.943
38.900,11.991,1.2479,14.963
39.000,11.872,1.3074,15.521
39.100,11.977,1.3498,16.167
39.200,11.839,1.3444,15.916
39.300,11.932,1.3276,15.841
39.400,12.103,1.4007,16.953
39.500,11.998,1.3603,16.321
39.600,11.962,1.3570,16.233
39.700,11.966,1.5118,18.090
39.800,12.172,1.2820,15.604
39.900,12.001,1.3921,16.707
40.000,12.033,1.4598,17.565
40.100,12.035,1.4262,17.164
40.200,11.944,1.4472,17.285
40.300,12.129,1.3189,15.997
40.400,11.964,1.4982,17.924
40.500,11.941,1.4609,17.445
40.600,11.975,1.5876,19.012
40.700,11.933,1.5321,18.282
40.800,11.976,1.5738,18.847
40.900,11.929,1.5206,18.139
41.000,11.717,1.5582,18.257
41.100,11.840,1.5966,18.904
41.200,11.891,1.6372,19.468
41.300,12.197,1.6172,19.725
41.400,11.828,1.7320,20.485
41.500,12.206,1.7081,20.848
41.600,11.954,1.7579,21.015
41.700,12.000,1.8311,21.973
41.800,11.867,1.8049,21.419
41.900,11.953,1.7912,21.410
42.000,11.957,1.7890,21.391
42.100,11.891,1.7262,20.526
42.200,11.977,1.8602,22.280
42.300,12.008,1.9521,23.440
42.400,12.088,1.9348,23.388
42.500,12.065,1.8286,22.063
42.600,11.908,1.9666,23.420
42.700,11.907,1.8294,21.783
42.800,11.937,2.0873,24.916
42.900,12.050,1.9256,23.204
43.000,11.979,1.9570,23.442
43.100,12.122,1.9313,23.411
43.200,12.151,2.0102,24.425
43.300,12.103,2.0587,24.916
43.400,11.901,2.1280,25.326
43.500,12.093,2.2199,26.845
43.600,12.052,2.1530,25.949
43.700,12.142,2.0588,24.997
43.800,11.912,2.1495,25.605
43.900,12.023,2.1292,25.600
44.000,11.959,2.1652,25.894
44.100,12.036,1.9895,23.945
44.200,11.983,2.1742,26.053
44.300,12.104,2.0543,24.866
44.400,12.045,2.0960,25.247
44.500,12.036,2.1488,25.862
44.600,11.949,2.0782,24.831
44.700,12.223,2.1155,25.858
44.800,11.956,2.1015,25.125
44.900,12.009,2.1385,25.681
45.000,12.028,2.0925,25.169
45.100,12.086,2.1220,25.647
45.200,12.094,2.1666,26.203
45.300,11.904,2.0991,24.988
45.400,11.984,2.1071,25.252
45.500,12.026,1.9519,23.475
45.600,11.904,2.0882,24.857
45.700,11.937,2.0142,24.043
45.800,11.946,2.0170,24.096
45.900,11.954,1.9594,23.424
46.000,12.161,2.0984,25.518
46.100,12.037,1.9554,23.538
46.200,12.025,1.9347,23.263
46.300,11.959,1.9690,23.547
46.400,12.059,1.8192,21.939
46.500,11.931,1.8992,22.659
46.600,11.966,1.6911,20.236
46.700,12.182,1.7245,21.008
46.800,12.084,1.6598,20.057
46.900,12.027,1.7621,21.193
47.000,12.154,1.6560,20.127
47.100,12.238,1.6250,19.886
47.200,11.937,1.7457,20.839
47.300,12.009,1.5911,19.108
47.400,11.924,1.5611,18.615
47.500,12.016,1.5912,19.119
47.600,12.161,1.4886,18.103
47.700,11.926,1.6487,19.663
47.800,11.896,1.5823,18.823
47.900,11.931,1.5195,18.129
48.000,12.182,1.4267,17.380
48.100,12.006,1.3886,16.671
48.200,11.947,1.4735,17.604
48.300,11.783,1.3839,16.307
48.400,11.916,1.4521,17.303
48.500,12.006,1.4388,17.274
48.600,11.939,1.4881,17.767
48.700,11.801,1.3826,16.316
48.800,12.033,1.3284,15.984
48.900,12.151,1.2970,15.760
49.000,11.965,1.3090,15.663
49.100,12.161,1.3218,16.075
49.200,11.884,1.3308,15.815
49.300,12.266,1.3446,16.493
49.400,11.996,1.2899,15.474
49.500,11.875,1.3309,15.805
49.600,11.863,1.4082,16.705
49.700,11.996,1.3795,16.548
49.800,12.000,1.3503,16.203
49.900,11.672,1.4546,16.978
50.000,11.882,1.4474,17.198
50.100,12.156,1.3325,16.197
50.200,11.927,1.4261,17.009
50.300,12.151,1.4196,17.250
50.400,12.250,1.4013,17.166
50.500,12.047,1.4527,17.500
50.600,12.070,1.5196,18.341
50.700,11.938,1.6241,19.388
50.800,12.012,1.6200,19.460
50.900,11.868,1.4969,17.766
51.000,12.073,1.5821,19.102
51.100,12.067,1.5236,18.385
51.200,11.886,1.5800,18.780
51.300,11.970,1.6233,19.431
51.400,11.996,1.5840,19.002
51.500,12.135,1.7322,21.019
51.600,11.962,1.8738,22.414
51.700,12.077,1.6438,19.853
51.800,11.844,1.7483,20.708
51.900,11.964,1.7778,21.269
52.000,11.962,1.8236,21.814
52.100,12.046,1.7081,20.577
52.200,11.896,1.8364,21.845
52.300,12.078,1.7233,20.814
52.400,12.278,1.7824,21.885
52.500,11.920,1.9261,22.959
52.600,12.049,2.0055,24.164
52.700,11.801,1.8818,22.208
52.800,12.070,2.0392,24.613
52.900,12.213,1.9441,23.743
53.000,11.884,1.8784,22.323
53.100,11.952,1.9895,23.779
53.200,12.121,1.8775,22.757
53.300,12.091,1.9528,23.612
53.400,12.089,1.9470,23.537
53.500,12.003,1.8935,22.727
53.600,11.888,2.0385,24.233
53.700,12.106,2.0577,24.910
53.800,12.016,2.1653,26.017
53.900,12.065,2.0519,24.757
54.000,11.883,2.1362,25.385
54.100,11.906,2.0450,24.347
54.200,11.880,2.0384,24.217
54.300,11.844,1.9597,23.210
54.400,11.980,2.1666,25.957
54.500,11.913,2.0932,24.936
54.600,12.106,2.0597,24.936
54.700,12.027,2.0974,25.225
54.800,12.022,1.9869,23.886
54.900,11.955,1.9957,23.859
55.000,11.764,2.0040,23.576
55.100,12.047,1.9751,23.793
55.200,11.973,1.9543,23.399
55.300,12.079,1.9383,23.412
55.400,12.058,1.8936,22.834
55.500,11.630,2.0595,23.952
55.600,11.804,1.9767,23.334
55.700,11.861,1.9767,23.446
55.800,12.106,1.9765,23.926
55.900,11.919,1.9512,23.256
56.000,11.791,1.9434,22.915
56.100,11.985,1.9225,23.040
56.200,11.785,1.8329,21.600
56.300,12.051,1.8453,22.237
56.400,12.151,1.8168,22.076
56.500,11.943,1.6053,19.171
56.600,11.967,1.7010,20.356
56.700,11.913,1.7881,21.303
56.800,12.137,1.7434,21.159
56.900,12.053,1.5980,19.261
57.000,12.017,1.6820,20.212
57.100,11.935,1.6883,20.149
57.200,12.035,1.5775,18.985
57.300,12.136,1.5908,19.306
57.400,11.930,1.5334,18.294
57.500,12.053,1.4686,17.701
57.600,11.841,1.5323,18.144
57.700,11.741,1.5431,18.117
57.800,12.006,1.4774,17.737
57.900,11.927,1.4965,17.849
58.000,11.896,1.4292,17.002
58.100,12.012,1.3605,16.342
58.200,11.894,1.3958,16.601
58.300,12.143,1.4272,17.331
58.400,12.014,1.4076,16.911
58.500,11.977,1.2649,15.149
58.600,11.879,1.2868,15.285
58.700,12.161,1.4180,17.245
58.800,11.975,1.4149,16.943
58.900,11.997,1.3287,15.940
59.000,11.959,1.4497,17.338
59.100,12.048,1.3692,16.496
59.200,11.871,1.2957,15.382
59.300,11.864,1.3510,16.029
59.400,12.035,1.3575,16.338
59.500,11.932,1.4565,17.379
59.600,12.113,1.4966,18.129
59.700,12.132,1.3207,16.023
59.800,11.836,1.4014,16.587
59.900,12.053,1.3031,15.707
