point,gt_x_m,gt_y_m,slam_x_m,slam_y_m,error_m,error_cm
77,2.4516,0.0000,2.4516,0.0175,0.0175,1.75
78,2.4839,0.0000,2.4839,0.0754,0.0754,7.54
79,2.5161,0.0000,2.5161,-0.0345,0.0345,3.45
80,2.5484,0.0000,2.5484,0.0256,0.0256,2.56
81,2.5806,0.0000,2.5806,0.0574,0.0574,5.74
82,2.6129,0.0000,2.6129,-0.0837,0.0837,8.37
83,2.6452,0.0000,2.6452,-0.0100,0.0100,1.00
84,2.6774,0.0000,2.6774,-0.0478,0.0478,4.78
85,2.7097,0.0000,2.7097,-0.0321,0.0321,3.21
86,2.7419,0.0000,2.7419,0.0276,0.0276,2.76
87,2.7742,0.0000,2.7742,0.0414,0.0414,4.14
88,2.8065,0.0000,2.8065,0.0478,0.0478,4.78
89,2.8387,0.0000,2.8387,0.0738,0.0738,7.38
90,2.8710,0.0000,2.8710,0.0307,0.0307,3.07
91,2.9032,0.0000,2.9032,0.0689,0.0689,6.89
92,2.9355,0.0000,2.9355,0.0114,0.0114,1.14
93,2.9677,0.0000,2.9677,-0.0641,0.0641,6.41
94,3.0000,0.0000,3.0000,0.0457,0.0457,4.57
95,3.0323,0.0000,3.0323,0.0553,0.0553,5.53
96,3.0645,0.0000,3.0645,-0.0634,0.0634,6.34
97,3.0968,0.0000,3.0968,0.0920,0.0920,9.20
98,3.1290,0.0000,3.1290,-0.0591,0.0591,5.91
99,3.1613,0.0000,3.1613,-0.0269,0.0269,2.69
100,3.1935,0.0000,3.1935,-0.0512,0.0512,5.12
101,3.2258,0.0000,3.2258,0.0647,0.0647,6.47
102,3.2581,0.0000,3.2581,-0.0428,0.0428,4.28
103,3.2903,0.0000,3.2903,-0.0553,0.0553,5.53
104,3.3226,0.0000,3.3226,-0.0028,0.0028,0.28
105,3.3548,0.0000,3.3548,-0.0509,0.0509,5.09
106,3.3871,0.0000,3.3871,-0.0652,0.0652,6.52
107,3.4194,0.0000,3.4194,-0.0668,0.0668,6.68
108,3.4516,0.0000,3.4516,0.0711,0.0711,7.11
109,3.4839,0.0000,3.4839,-0.0491,0.0491,4.91
110,3.5161,0.0000,3.5161,-0.0505,0.0505,5.05
111,3.5484,0.0000,3.5484,-0.0526,0.0526,5.26
112,3.5806,0.0000,3.5806,0.0676,0.0676,6.76
113,3.6129,0.0000,3.6129,-0.0588,0.0588,5.88
114,3.6452,0.0000,3.6452,0.0769,0.0769,7.69
115,3.6774,0.0000,3.6774,0.0374,0.0374,3.74
116,3.7097,0.0000,3.7097,-0.0801,0.0801,8.01
117,3.7419,0.0000,3.7419,0.0202,0.0202,2.02
118,3.7742,0.0000,3.7742,-0.0875,0.0875,8.75
119,3.8065,0.0000,3.8065,-0.0716,0.0716,7.16
120,3.8387,0.0000,3.8387,0.0916,0.0916,9.16
121,3.8710,0.0000,3.8710,0.0206,0.0206,2.06
122,3.9032,0.0000,3.9032,0.0576,0.0576,5.76
123,3.9355,0.0000,3.9355,-0.0960,0.0960,9.60
124,3.9677,0.0000,3.9677,0.0623,0.0623,6.23
125,4.0000,0.0000,4.0000,-0.0202,0.0202,2.02
126,4.0000,0.0000,3.9463,0.0000,0.0537,5.37
127,4.0000,0.0323,4.0536,0.0323,0.0536,5.36
128,4.0000,0.0645,4.0677,0.0645,0.0677,6.77
129,4.0000,0.0968,3.9271,0.0968,0.0729,7.29
130,4.0000,0.1290,3.9908,0.1290,0.0092,0.92
131,4.0000,0.1613,3.9232,0.1613,0.0768,7.68
132,4.0000,0.1935,4.0585,0.1935,0.0585,5.85
133,4.0000,0.2258,3.9275,0.2258,0.0725,7.25
134,4.0000,0.2581,3.9024,0.2581,0.0976,9.76
135,4.0000,0.2903,3.9200,0.2903,0.0800,8.00
136,4.0000,0.3226,4.0639,0.3226,0.0639,6.39
137,4.0000,0.3548,4.0852,0.3548,0.0852,8.52
138,4.0000,0.3871,3.9777,0.3871,0.0223,2.23
139,4.0000,0.4194,4.0772,0.4194,0.0772,7.72
140,4.0000,0.4516,4.0438,0.4516,0.0438,4.38
141,4.0000,0.4839,3.9127,0.4839,0.0873,8.73
142,4.0000,0.5161,4.0435,0.5161,0.0435,4.35
143,4.0000,0.5484,3.9316,0.5484,0.0684,6.84
144,4.0000,0.5806,4.0317,0.5806,0.0317,3.17
145,4.0000,0.6129,4.0075,0.6129,0.0075,0.75
146,4.0000,0.6452,4.0335,0.6452,0.0335,3.35
147,4.0000,0.6774,3.9612,0.6774,0.0388,3.88
148,4.0000,0.7097,3.9133,0.7097,0.0867,8.67
149,4.0000,0.7419,4.0621,0.7419,0.0621,6.21
150,4.0000,0.7742,3.9398,0.7742,0.0602,6.02
151,4.0000,0.8065,3.8909,0.8065,0.1091,10.91
152,4.0000,0.8387,4.0267,0.8387,0.0267,2.67
153,4.0000,0.8710,4.0059,0.8710,0.0059,0.59
154,4.0000,0.9032,4.0716,0.9032,0.0716,7.16
155,4.0000,0.9355,3.9694,0.9355,0.0306,3.06
156,4.0000,0.9677,4.0839,0.9677,0.0839,8.39
157,4.0000,1.0000,3.9100,1.0000,0.0900,9.00
158,4.0000,1.0323,4.0116,1.0323,0.0116,1.16
159,4.0000,1.0645,4.0939,1.0645,0.0939,9.39
160,4.0000,1.0968,3.9445,1.0968,0.0555,5.55
161,4.0000,1.1290,4.0214,1.1290,0.0214,2.14
162,4.0000,1.1613,4.0590,1.1613,0.0590,5.90
163,4.0000,1.1935,3.9123,1.1935,0.0877,8.77
164,4.0000,1.2258,4.1021,1.2258,0.1021,10.21
165,4.0000,1.2581,3.9086,1.2581,0.0914,9.14
166,4.0000,1.2903,4.0342,1.2903,0.0342,3.42
167,4.0000,1.3226,4.0486,1.3226,0.0486,4.86
168,4.0000,1.3548,3.9990,1.3548,0.0010,0.10
169,4.0000,1.3871,4.0569,1.3871,0.0569,5.69
170,4.0000,1.4194,3.9734,1.4194,0.0266,2.66
171,4.0000,1.4516,3.9572,1.4516,0.0428,4.28
172,4.0000,1.4839,4.0394,1.4839,0.0394,3.94
173,4.0000,1.5161,4.0951,1.5161,0.0951,9.51
174,4.0000,1.5484,4.1019,1.5484,0.1019,10.19
175,4.0000,1.5806,3.9254,1.5806,0.0746,7.46
176,4.0000,1.6129,4.0497,1.6129,0.0497,4.97
177,4.0000,1.6452,3.9517,1.6452,0.0483,4.83
178,4.0000,1.6774,4.0273,1.6774,0.0273,2.73
179,4.0000,1.7097,4.0663,1.7097,0.0663,6.63
180,4.0000,1.7419,4.1064,1.7419,0.1064,10.64
181,4.0000,1.7742,4.0555,1.7742,0.0555,5.55
182,4.0000,1.8065,4.0334,1.8065,0.0334,3.34
183,4.0000,1.8387,3.9187,1.8387,0.0813,8.13
184,4.0000,1.8710,4.0574,1.8710,0.0574,5.74
185,4.0000,1.9032,4.0626,1.9032,0.0626,6.26
186,4.0000,1.9355,4.1072,1.9355,0.1072,10.72
187,4.0000,1.9677,3.9327,1.9677,0.0673,6.73
188,4.0000,2.0000,4.0940,2.0000,0.0940,9.40
189,4.0000,2.0323,3.9043,2.0323,0.0957,9.57
190,4.0000,2.0645,4.0493,2.0645,0.0493,4.93
191,4.0000,2.0968,4.0960,2.0968,0.0960,9.60
192,4.0000,2.1290,3.9037,2.1290,0.0963,9.63
193,4.0000,2.1613,4.0566,2.1613,0.0566,5.66
194,4.0000,2.1935,3.9170,2.1935,0.0830,8.30
195,4.0000,2.2258,3.9328,2.2258,0.0672,6.72
196,4.0000,2.2581,3.9255,2.2581,0.0745,7.45
197,4.0000,2.2903,4.0846,2.2903,0.0846,8.46
198,4.0000,2.3226,4.0363,2.3226,0.0363,3.63
199,4.0000,2.3548,3.9425,2.3548,0.0575,5.75
200,4.0000,2.3871,3.9332,2.3871,0.0668,6.68
201,4.0000,2.4194,4.0515,2.4194,0.0515,5.15
202,4.0000,2.4516,4.0427,2.4516,0.0427,4.27
203,4.0000,2.4839,3.9164,2.4839,0.0836,8.36
204,4.0000,2.5161,4.0809,2.5161,0.0809,8.09
205,4.0000,2.5484,3.9132,2.5484,0.0868,8.68
206,4.0000,2.5806,3.9331,2.5806,0.0669,6.69
207,4.0000,2.6129,4.0489,2.6129,0.0489,4.89
208,4.0000,2.6452,4.0280,2.6452,0.0280,2.80
209,4.0000,2.6774,3.9986,2.6774,0.0014,0.14
210,4.0000,2.7097,4.0411,2.7097,0.0411,4.11
211,4.0000,2.7419,4.0788,2.7419,0.0788,7.88
212,4.0000,2.7742,4.1256,2.7742,0.1256,12.56
213,4.0000,2.8065,4.0825,2.8065,0.0825,8.25
214,4.0000,2.8387,4.0195,2.8387,0.0195,1.95
215,4.0000,2.8710,4.1022,2.8710,0.1022,10.22
216,4.0000,2.9032,4.1253,2.9032,0.1253,12.53
217,4.0000,2.9355,3.9148,2.9355,0.0852,8.52
218,4.0000,2.9677,3.8879,2.9677,0.1121,11.21
219,4.0000,3.0000,4.0999,3.0000,0.0999,9.99
220,4.0000,3.0323,4.0043,3.0323,0.0043,0.43
221,4.0000,3.0645,4.0842,3.0645,0.0842,8.42
222,4.0000,3.0968,4.0626,3.0968,0.0626,6.26
223,4.0000,3.1290,4.0379,3.1290,0.0379,3.79
224,4.0000,3.1613,3.9225,3.1613,0.0775,7.75
225,4.0000,3.1935,3.8818,3.1935,0.1182,11.82
226,4.0000,3.2258,3.9005,3.2258,0.0995,9.95
227,4.0000,3.2581,3.9021,3.2581,0.0979,9.79
228,4.0000,3.2903,4.0591,3.2903,0.0591,5.91
229,4.0000,3.3226,4.0551,3.3226,0.0551,5.51
230,4.0000,3.3548,3.8722,3.3548,0.1278,12.78
231,4.0000,3.3871,3.9028,3.3871,0.0972,9.72
232,4.0000,3.4194,3.9994,3.4194,0.0006,0.06
233,4.0000,3.4516,3.9012,3.4516,0.0988,9.88
234,4.0000,3.4839,3.8702,3.4839,0.1298,12.98
235,4.0000,3.5161,4.0111,3.5161,0.0111,1.11
236,4.0000,3.5484,4.0406,3.5484,0.0406,4.06
237,4.0000,3.5806,3.8813,3.5806,0.1187,11.87
238,4.0000,3.6129,3.8694,3.6129,0.1306,13.06
239,4.0000,3.6452,4.0564,3.6452,0.0564,5.64
240,4.0000,3.6774,4.0597,3.6774,0.0597,5.97
241,4.0000,3.7097,4.1206,3.7097,0.1206,12.06
242,4.0000,3.7419,4.1166,3.7419,0.1166,11.66
243,4.0000,3.7742,3.9485,3.7742,0.0515,5.15
244,4.0000,3.8065,3.9036,3.8065,0.0964,9.64
245,4.0000,3.8387,3.9337,3.8387,0.0663,6.63
246,4.0000,3.8710,3.9993,3.8710,0.0007,0.07
247,4.0000,3.9032,4.1100,3.9032,0.1100,11.00
248,4.0000,3.9355,4.1309,3.9355,0.1309,13.09
249,4.0000,3.9677,3.9894,3.9677,0.0106,1.06
250,4.0000,4.0000,4.0000,3.9458,0.0542,5.42
251,4.0000,4.0000,4.0000,4.1398,0.1398,13.98
252,3.9677,4.0000,3.9677,4.0581,0.0581,5.81
253,3.9355,4.0000,3.9355,3.9782,0.0218,2.18
254,3.9032,4.0000,3.9032,4.0488,0.0488,4.88
255,3.8710,4.0000,3.8710,4.0442,0.0442,4.42
256,3.8387,4.0000,3.8387,4.0020,0.0020,0.20
257,3.8065,4.0000,3.8065,4.1216,0.1216,12.16
258,3.7742,4.0000,3.7742,3.8587,0.1413,14.13
259,3.7419,4.0000,3.7419,3.8689,0.1311,13.11
260,3.7097,4.0000,3.7097,3.8836,0.1164,11.64
261,3.6774,4.0000,3.6774,3.9686,0.0314,3.14
262,3.6452,4.0000,3.6452,3.9693,0.0307,3.07
263,3.6129,4.0000,3.6129,3.8453,0.1547,15.47
264,3.5806,4.0000,3.5806,4.0076,0.0076,0.76
265,3.5484,4.0000,3.5484,4.0501,0.0501,5.01
266,3.5161,4.0000,3.5161,3.9360,0.0640,6.40
267,3.4839,4.0000,3.4839,4.1198,0.1198,11.98
268,3.4516,4.0000,3.4516,4.0125,0.0125,1.25
269,3.4194,4.0000,3.4194,4.1118,0.1118,11.18
270,3.3871,4.0000,3.3871,3.8527,0.1473,14.73
271,3.3548,4.0000,3.3548,3.8528,0.1472,14.72
272,3.3226,4.0000,3.3226,4.0781,0.0781,7.81
273,3.2903,4.0000,3.2903,3.8987,0.1013,10.13
274,3.2581,4.0000,3.2581,4.0300,0.0300,3.00
275,3.2258,4.0000,3.2258,4.1307,0.1307,13.07
276,3.1935,4.0000,3.1935,4.0454,0.0454,4.54
277,3.1613,4.0000,3.1613,4.1474,0.1474,14.74
278,3.1290,4.0000,3.1290,4.0285,0.0285,2.85
279,3.0968,4.0000,3.0968,4.1330,0.1330,13.30
280,3.0645,4.0000,3.0645,3.8796,0.1204,12.04
281,3.0323,4.0000,3.0323,4.0624,0.0624,6.24
282,3.0000,4.0000,3.0000,3.9097,0.0903,9.03
283,2.9677,4.0000,2.9677,4.0837,0.0837,8.37
284,2.9355,4.0000,2.9355,3.9599,0.0401,4.01
285,2.9032,4.0000,2.9032,3.8508,0.1492,14.92
286,2.8710,4.0000,2.8710,4.1653,0.1653,16.53
287,2.8387,4.0000,2.8387,3.8751,0.1249,12.49
288,2.8065,4.0000,2.8065,3.9414,0.0586,5.86
289,2.7742,4.0000,2.7742,4.0639,0.0639,6.39
290,2.7419,4.0000,2.7419,3.8483,0.1517,15.17
291,2.7097,4.0000,2.7097,4.1537,0.1537,15.37
292,2.6774,4.0000,2.6774,4.0422,0.0422,4.22
293,2.6452,4.0000,2.6452,4.1444,0.1444,14.44
294,2.6129,4.0000,2.6129,3.9557,0.0443,4.43
295,2.5806,4.0000,2.5806,3.8472,0.1528,15.28
296,2.5484,4.0000,2.5484,4.0519,0.0519,5.19
297,2.5161,4.0000,2.5161,3.8510,0.1490,14.90
298,2.4839,4.0000,2.4839,3.8422,0.1578,15.78
299,2.4516,4.0000,2.4516,4.1403,0.1403,14.03
300,2.4194,4.0000,2.4194,4.1648,0.1648,16.48
301,2.3871,4.0000,2.3871,3.8631,0.1369,13.69
302,2.3548,4.0000,2.3548,4.0276,0.0276,2.76
303,2.3226,4.0000,2.3226,4.0569,0.0569,5.69
304,2.2903,4.0000,2.2903,3.8550,0.1450,14.50
305,2.2581,4.0000,2.2581,3.9864,0.0136,1.36
306,2.2258,4.0000,2.2258,4.0533,0.0533,5.33
307,2.1935,4.0000,2.1935,3.8405,0.1595,15.95
308,2.1613,4.0000,2.1613,4.1122,0.1122,11.22
309,2.1290,4.0000,2.1290,4.1195,0.1195,11.95
310,2.0968,4.0000,2.0968,3.9973,0.0027,0.27
311,2.0645,4.0000,2.0645,3.8403,0.1597,15.97
312,2.0323,4.0000,2.0323,4.1689,0.1689,16.89
313,2.0000,4.0000,2.0000,3.9430,0.0570,5.70
314,1.9677,4.0000,1.9677,4.1311,0.1311,13.11
315,1.9355,4.0000,1.9355,3.8971,0.1029,10.29
316,1.9032,4.0000,1.9032,4.1081,0.1081,10.81
317,1.8710,4.0000,1.8710,4.0196,0.0196,1.96
318,1.8387,4.0000,1.8387,3.9892,0.0108,1.08
319,1.8065,4.0000,1.8065,4.1016,0.1016,10.16
320,1.7742,4.0000,1.7742,3.9714,0.0286,2.86
321,1.7419,4.0000,1.7419,3.8580,0.1420,14.20
322,1.7097,4.0000,1.7097,4.0533,0.0533,5.33
323,1.6774,4.0000,1.6774,4.1028,0.1028,10.28
324,1.6452,4.0000,1.6452,4.0896,0.0896,8.96
325,1.6129,4.0000,1.6129,4.0967,0.0967,9.67
326,1.5806,4.0000,1.5806,4.1725,0.1725,17.25
327,1.5484,4.0000,1.5484,3.8267,0.1733,17.33
328,1.5161,4.0000,1.5161,4.1629,0.1629,16.29
329,1.4839,4.0000,1.4839,4.0227,0.0227,2.27
330,1.4516,4.0000,1.4516,3.8409,0.1591,15.91
331,1.4194,4.0000,1.4194,3.8084,0.1916,19.16
332,1.3871,4.0000,1.3871,4.1773,0.1773,17.73
333,1.3548,4.0000,1.3548,3.9694,0.0306,3.06
334,1.3226,4.0000,1.3226,4.2069,0.2069,20.69
335,1.2903,4.0000,1.2903,4.1813,0.1813,18.13
336,1.2581,4.0000,1.2581,4.0602,0.0602,6.02
337,1.2258,4.0000,1.2258,3.8274,0.1726,17.26
338,1.1935,4.0000,1.1935,3.9845,0.0155,1.55
339,1.1613,4.0000,1.1613,3.8258,0.1742,17.42
340,1.1290,4.0000,1.1290,3.9173,0.0827,8.27
341,1.0968,4.0000,1.0968,4.0596,0.0596,5.96
342,1.0645,4.0000,1.0645,3.9543,0.0457,4.57
343,1.0323,4.0000,1.0323,3.9396,0.0604,6.04
344,1.0000,4.0000,1.0000,4.1882,0.1882,18.82
345,0.9677,4.0000,0.9677,4.1131,0.1131,11.31
346,0.9355,4.0000,0.9355,4.0390,0.0390,3.90
347,0.9032,4.0000,0.9032,3.9269,0.0731,7.31
348,0.8710,4.0000,0.8710,4.1460,0.1460,14.60
349,0.8387,4.0000,0.8387,4.0538,0.0538,5.38
350,0.8065,4.0000,0.8065,4.1726,0.1726,17.26
351,0.7742,4.0000,0.7742,3.9445,0.0555,5.55
352,0.7419,4.0000,0.7419,3.8731,0.1269,12.69
353,0.7097,4.0000,0.7097,3.9551,0.0449,4.49
354,0.6774,4.0000,0.6774,4.0997,0.0997,9.97
355,0.6452,4.0000,0.6452,4.1249,0.1249,12.49
356,0.6129,4.0000,0.6129,3.8165,0.1835,18.35
357,0.5806,4.0000,0.5806,3.8211,0.1789,17.89
358,0.5484,4.0000,0.5484,4.1972,0.1972,19.72
359,0.5161,4.0000,0.5161,3.9596,0.0404,4.04
360,0.4839,4.0000,0.4839,3.7998,0.2002,20.02
361,0.4516,4.0000,0.4516,4.2050,0.2050,20.50
362,0.4194,4.0000,0.4194,3.9768,0.0232,2.32
363,0.3871,4.0000,0.3871,4.0055,0.0055,0.55
364,0.3548,4.0000,0.3548,4.1761,0.1761,17.61
365,0.3226,4.0000,0.3226,4.1389,0.1389,13.89
366,0.2903,4.0000,0.2903,3.9231,0.0769,7.69
367,0.2581,4.0000,0.2581,4.0397,0.0397,3.97
368,0.2258,4.0000,0.2258,4.1799,0.1799,17.99
369,0.1935,4.0000,0.1935,3.8719,0.1281,12.81
370,0.1613,4.0000,0.1613,3.8223,0.1777,17.77
371,0.1290,4.0000,0.1290,3.9680,0.0320,3.20
372,0.0968,4.0000,0.0968,4.1042,0.1042,10.42
373,0.0645,4.0000,0.0645,4.1636,0.1636,16.36
374,0.0323,4.0000,0.0323,4.1986,0.1986,19.86
375,0.0000,4.0000,0.0000,4.2022,0.2022,20.22
376,0.0000,4.0000,-0.0677,4.0000,0.0677,6.77
377,0.0000,3.9677,0.1936,3.9677,0.1936,19.36
378,0.0000,3.9355,0.1452,3.9355,0.1452,14.52
379,0.0000,3.9032,-0.1034,3.9032,0.1034,10.34
380,0.0000,3.8710,0.1659,3.8710,0.1659,16.59
381,0.0000,3.8387,0.2068,3.8387,0.2068,20.68
382,0.0000,3.8065,-0.1884,3.8065,0.1884,18.84
383,0.0000,3.7742,-0.0955,3.7742,0.0955,9.55
384,0.0000,3.7419,0.0962,3.7419,0.0962,9.62
385,0.0000,3.7097,0.1757,3.7097,0.1757,17.57
386,0.0000,3.6774,-0.1116,3.6774,0.1116,11.16
387,0.0000,3.6452,-0.2234,3.6452,0.2234,22.34
388,0.0000,3.6129,0.0383,3.6129,0.0383,3.83
389,0.0000,3.5806,0.2299,3.5806,0.2299,22.99
390,0.0000,3.5484,0.1591,3.5484,0.1591,15.91
391,0.0000,3.5161,-0.0206,3.5161,0.0206,2.06
392,0.0000,3.4839,0.1847,3.4839,0.1847,18.47
393,0.0000,3.4516,0.0711,3.4516,0.0711,7.11
394,0.0000,3.4194,-0.0887,3.4194,0.0887,8.87
395,0.0000,3.3871,0.2178,3.3871,0.2178,21.78
396,0.0000,3.3548,0.2132,3.3548,0.2132,21.32
397,0.0000,3.3226,0.0318,3.3226,0.0318,3.18
398,0.0000,3.2903,-0.2019,3.2903,0.2019,20.19
399,0.0000,3.2581,0.1854,3.2581,0.1854,18.54
400,0.0000,3.2258,-0.2133,3.2258,0.2133,21.33
401,0.0000,3.1935,0.1980,3.1935,0.1980,19.80
402,0.0000,3.1613,0.0428,3.1613,0.0428,4.28
403,0.0000,3.1290,-0.0657,3.1290,0.0657,6.57
404,0.0000,3.0968,0.0828,3.0968,0.0828,8.28
405,0.0000,3.0645,0.1779,3.0645,0.1779,17.79
406,0.0000,3.0323,0.0571,3.0323,0.0571,5.71
407,0.0000,3.0000,0.0431,3.0000,0.0431,4.31
408,0.0000,2.9677,0.0440,2.9677,0.0440,4.40
409,0.0000,2.9355,-0.0948,2.9355,0.0948,9.48
410,0.0000,2.9032,0.0009,2.9032,0.0009,0.09
411,0.0000,2.8710,0.0140,2.8710,0.0140,1.40
412,0.0000,2.8387,-0.2001,2.8387,0.2001,20.01
413,0.0000,2.8065,0.1856,2.8065,0.1856,18.56
414,0.0000,2.7742,-0.2239,2.7742,0.2239,22.39
415,0.0000,2.7419,0.2201,2.7419,0.2201,22.01
416,0.0000,2.7097,0.0931,2.7097,0.0931,9.31
417,0.0000,2.6774,0.2318,2.6774,0.2318,23.18
418,0.0000,2.6452,-0.2330,2.6452,0.2330,23.30
419,0.0000,2.6129,-0.2144,2.6129,0.2144,21.44
420,0.0000,2.5806,-0.1923,2.5806,0.1923,19.23
421,0.0000,2.5484,-0.1226,2.5484,0.1226,12.26
422,0.0000,2.5161,0.0126,2.5161,0.0126,1.26
423,0.0000,2.4839,0.1373,2.4839,0.1373,13.73
424,0.0000,2.4516,0.1094,2.4516,0.1094,10.94
425,0.0000,2.4194,0.2453,2.4194,0.2453,24.53
426,0.0000,2.3871,0.1544,2.3871,0.1544,15.44
427,0.0000,2.3548,-0.2097,2.3548,0.2097,20.97
428,0.0000,2.3226,0.1162,2.3226,0.1162,11.62
429,0.0000,2.2903,-0.2239,2.2903,0.2239,22.39
430,0.0000,2.2581,-0.1758,2.2581,0.1758,17.58
431,0.0000,2.2258,0.2081,2.2258,0.2081,20.81
432,0.0000,2.1935,0.0244,2.1935,0.0244,2.44
433,0.0000,2.1613,-0.1196,2.1613,0.1196,11.96
434,0.0000,2.1290,-0.0369,2.1290,0.0369,3.69
435,0.0000,2.0968,-0.1564,2.0968,0.1564,15.64
436,0.0000,2.0645,0.1352,2.0645,0.1352,13.52
437,0.0000,2.0323,-0.0804,2.0323,0.0804,8.04
438,0.0000,2.0000,-0.2125,2.0000,0.2125,21.25
439,0.0000,1.9677,0.2299,1.9677,0.2299,22.99
440,0.0000,1.9355,0.1670,1.9355,0.1670,16.70
441,0.0000,1.9032,0.1670,1.9032,0.1670,16.70
442,0.0000,1.8710,0.0043,1.8710,0.0043,0.43
443,0.0000,1.8387,-0.2062,1.8387,0.2062,20.62
444,0.0000,1.8065,-0.1605,1.8065,0.1605,16.05
445,0.0000,1.7742,0.2311,1.7742,0.2311,23.11
446,0.0000,1.7419,-0.0539,1.7419,0.0539,5.39
